title,url,date,rating,status,comment
捕风追影,https://movie.douban.com/subject/36600459/,2025-11-17,★★★,看过,
8号出口,https://movie.douban.com/subject/37178027/,2025-11-15,★★★,看过,
战地青春：直击美国海军陆战队,https://movie.douban.com/subject/37667418/,2025-11-13,★★,看过,
致命弯道6：终极审判,https://movie.douban.com/subject/26022765/,2025-11-08,★★,看过,
致命弯道5：血族,https://movie.douban.com/subject/10774980/,2025-11-08,★★,看过,
致命弯道4：血腥起源,https://movie.douban.com/subject/6082517/,2025-11-06,★★,看过,
致命弯道3,https://movie.douban.com/subject/3148877/,2025-11-06,★★★,看过,
致命弯道2,https://movie.douban.com/subject/2032339/,2025-11-06,★★,看过,
致命弯道,https://movie.douban.com/subject/30352897/,2025-11-05,★★★,看过,
爱与怪物,https://movie.douban.com/subject/21349338/,2025-11-04,★★★,看过,
灵魂冲浪人,https://movie.douban.com/subject/4301274/,2025-11-04,★★★★,看过,
地心历险记2：神秘岛,https://movie.douban.com/subject/3606973/,2025-11-02,★★,看过,
地心历险记,https://movie.douban.com/subject/2037833/,2025-11-02,★★★,看过,
逃出白垩纪,https://movie.douban.com/subject/35197766/,2025-11-02,★★,看过,
终极名单：黑狼,https://movie.douban.com/subject/36235916/,2025-11-01,★★,看过,
烟火寻凶,https://movie.douban.com/subject/36189368/,2025-11-01,★★,看过,
流人 第五季,https://movie.douban.com/subject/36689815/,2025-11-01,★★★★★,看过,
军靴男孩,https://movie.douban.com/subject/36393709/,2025-11-01,★★★,看过,
荒境狂途 第一季,https://movie.douban.com/subject/36811158/,2025-10-30,★★★★,看过,
特别小组 第一季,https://movie.douban.com/subject/36439721/,2025-10-28,★★★★★,看过,
铁线虫入侵,https://movie.douban.com/subject/6839145/,2025-10-27,★★★,看过,
炸药屋,https://movie.douban.com/subject/36889911/,2025-10-27,★★★★,看过,
旧日噩梦,https://movie.douban.com/subject/4146762/,2025-10-22,★★★★,看过,
忌日快乐2,https://movie.douban.com/subject/30209818/,2025-10-19,★★★,看过,
忌日快乐,https://movie.douban.com/subject/27027913/,2025-10-18,★★★,看过,
祭屋出租,https://movie.douban.com/subject/36244313/,2025-10-18,★★,看过,
怪奇宅,https://movie.douban.com/subject/35477218/,2025-10-17,★★★,看过,
老师的恩惠,https://movie.douban.com/subject/2054070/,2025-10-16,★★★,看过,
昆池岩,https://movie.douban.com/subject/26945085/,2025-10-16,★★★,看过,
怪奇收割,https://movie.douban.com/subject/37045407/,2025-10-14,★★★,看过,
曼谷杀手,https://movie.douban.com/subject/1918224/,2025-10-13,★★,看过,
空中监狱,https://movie.douban.com/subject/1300618/,2025-10-13,★★★★,看过,
怪物：艾德·盖恩的故事,https://movie.douban.com/subject/36148972/,2025-10-08,★★,看过,
原始战争,https://movie.douban.com/subject/36831721/,2025-10-07,★★★,看过,
招魂4：终章,https://movie.douban.com/subject/36131988/,2025-10-07,★★,看过,
凡人修仙传：外海风云‎,https://movie.douban.com/subject/36923479/,2025-10-05,★★★★,看过,
凡人修仙传：初入星海,https://movie.douban.com/subject/36017435/,2025-10-02,★★★,看过,
凡人修仙传：再别天南,https://movie.douban.com/subject/35882624/,2025-10-02,★★★,看过,
凡人修仙传：魔道争锋,https://movie.douban.com/subject/35640039/,2025-10-02,★★★,看过,
凡人修仙传：燕家堡之战,https://movie.douban.com/subject/35259437/,2025-10-02,★★★,看过,
凡人修仙传：风起天南,https://movie.douban.com/subject/34925294/,2025-10-02,★★★,看过,
异形：地球 第一季,https://movie.douban.com/subject/35284531/,2025-09-24,★★,看过,
神奇4侠：初露锋芒,https://movie.douban.com/subject/34825559/,2025-09-24,★★★,看过,
一饭封神,https://movie.douban.com/subject/37364585/,2025-09-19,★★,看过,
731,https://movie.douban.com/subject/27605659/,2025-09-19,★,看过,
极限网红,https://movie.douban.com/subject/34889715/,2025-09-15,★,看过,
凶器,https://movie.douban.com/subject/36221247/,2025-09-10,★★★★,看过,
悬案解码 第一季,https://movie.douban.com/subject/36392949/,2025-09-08,★★★★,看过,
新·驯龙高手,https://movie.douban.com/subject/36247731/,2025-09-08,★★★,看过,
嗜血法医：杀魔复生 第一季,https://movie.douban.com/subject/36243809/,2025-09-06,★★★★,看过,
嗜血法医：源罪,https://movie.douban.com/subject/36235376/,2025-08-31,,看过,
维兰德档案：生日快乐！大卫,https://movie.douban.com/subject/27076853/,2025-08-23,★★★,看过,
大卫实验室的秘密：新的胚胎,https://movie.douban.com/subject/34966389/,2025-08-23,★★★★,看过,
异形：契约-番外：十字路口,https://movie.douban.com/subject/27070044/,2025-08-23,★★★★,看过,
同甘共苦,https://movie.douban.com/subject/36772728/,2025-08-17,★★★,看过,
超人,https://movie.douban.com/subject/36188176/,2025-08-17,★,看过,
变蚊人,https://movie.douban.com/subject/26474493/,2025-08-17,★★,看过,
哪吒之魔童闹海,https://movie.douban.com/subject/34780991/,2025-08-03,★★,看过,
扫毒风暴,https://movie.douban.com/subject/36721436/,2025-07-31,★★,看过,
复活她,https://movie.douban.com/subject/36876356/,2025-07-24,★★★,看过,
头文字D 最终季,https://movie.douban.com/subject/25769365/,2025-07-17,★★★★★,看过,
头文字D 第五季,https://movie.douban.com/subject/11589787/,2025-07-17,★★★★,看过,
头文字D 第四季,https://movie.douban.com/subject/1867425/,2025-07-17,★★★★★,看过,
头文字D  第三季(剧场版),https://movie.douban.com/subject/1867424/,2025-07-17,★★★★,看过,
头文字D 第二季,https://movie.douban.com/subject/1867421/,2025-07-17,★★★★★,看过,
头文字D 第一季,https://movie.douban.com/subject/1867420/,2025-07-17,★★★★★,看过,
黑洞表面,https://movie.douban.com/subject/1298041/,2025-07-08,★★★,看过,
侏罗纪世界：重生,https://movie.douban.com/subject/36743767/,2025-07-05,★★,看过,
雷霆特攻队*,https://movie.douban.com/subject/35927475/,2025-07-02,★★,看过,
F1：狂飙飞车,https://movie.douban.com/subject/35689244/,2025-06-29,★★★★,看过,
